OBJECTID,STATION,LINE,TERMINUS,ROUTE,LONGITUDE,LATITUDE
127,E.Berkeley Street,SILVER,N,SL4 SL5,-71.06592696,42.34418416
158,E.Berkeley Street,SILVER,N,SL4 SL5,-71.06579546,42.3441426
128,Herald Street,SILVER,N,SL4 SL5,-71.06460811,42.34640467
159,Herald Street,SILVER,N,SL4 SL5,-71.06472021,42.34642036
123,Lenox Street,SILVER,N,SL4 SL5,-71.07854286,42.33517533
153,Lenox Street,SILVER,N,SL4 SL5,-71.07906098,42.3349379
124,Massachusetts Ave,SILVER,N,SL4 SL5,-71.07720035,42.33625834
154,Massachusetts Ave,SILVER,N,SL4 SL5,-71.07730527,42.33633302
130,Melnea Cass Blvd,SILVER,N,SL4 SL5,-71.08119941,42.33271034
152,Melnea Cass Blvd,SILVER,N,SL4 SL5,-71.0808025,42.33311403
125,Newton Street,SILVER,N,SL4 SL5,-71.07375785,42.33869952
156,Newton Street,SILVER,N,SL4 SL5,-71.07388389,42.33876842
133,Northern Avenue at Harbor Street,SILVER,N,SL2,-71.03511486,42.34659711
132,Northern Avenue at Tide Street,SILVER,N,SL2,-71.03178241,42.34511217
138,Silver Line Way,SILVER,N,SL1 SL2,-71.03803773,42.34697856
141,South Station,SILVER,N,SL1 SL2,-71.05527717,42.35262498
150,South Station Essex St.,SILVER,N,SL4,-71.0561276,42.35190726
131,Tuffs Medical Center,SILVER,N,SL4 SL5,-71.06369264,42.3496193
160,Tuffs Medical Center,SILVER,N,SL4 SL5,-71.06380765,42.34964863
126,Union Park Street,SILVER,N,SL4 SL5,-71.0692166,42.34144347
157,Union Park Street,SILVER,N,SL4 SL5,-71.06961241,42.34137878
129,Worcester Square,SILVER,N,SL4 SL5,-71.0753995,42.3375637
155,Worcester Square,SILVER,N,SL4 SL5,-71.07587776,42.33737972
139,World Trade Center,SILVER,N,SL1 SL2,-71.04263007,42.34835019
